attention,meditation,delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,highgamma,state
44,64,304322,51691,4794,6596,5171,4170,1120,336,1
60,48,34675,15580,17680,10159,20192,20004,9433,4037,1
60,54,22753,14844,25012,5650,9658,13221,3291,1292,1
61,67,22121,8618,35207,4242,6514,9677,5977,3319,1
47,74,488494,61259,18950,10204,6285,4945,2143,1192,1
70,20,83021,26352,9597,1340,4323,3853,747,512,1
63,14,1209835,331146,26291,28124,46690,24875,6421,6759,1
53,29,8283,16421,28081,10004,43657,14827,3175,1937,1
50,41,83018,25102,20447,6339,7512,14177,3939,1700,1
66,44,27882,14700,10770,7164,9867,16431,5236,9246,1
80,69,8874,10848,37377,16746,24545,17121,9975,4471,1
74,74,52798,50201,38487,10909,6760,14118,10248,2036,1
74,74,52798,50201,38487,10909,6760,14118,10248,2036,1
66,91,8723,5981,29695,12118,18329,19339,10320,1772,1
67,50,56482,50968,4877,5826,4533,3138,1547,1492,1
64,57,14220,9221,11321,31673,10312,10488,1896,3812,1
84,67,10680,22599,12355,6146,7913,15373,7428,3246,1
84,69,305565,14353,24641,7739,11320,24069,10673,6385,1
60,61,440144,294375,23101,35510,20824,13013,12797,6462,1
47,30,440431,103910,8645,5277,21171,5827,3741,1559,1
47,27,11237,45698,22567,3995,11600,30567,6739,2886,1
54,43,40212,21511,7175,14291,11409,12824,13224,4881,1
75,56,5641,30709,7992,8690,4416,16770,9995,5212,1
44,20,38317,77726,9419,10656,11330,11035,8038,2612,1
57,54,5239,24912,27313,11460,6512,8293,3044,4711,1
41,61,840104,375156,59402,49728,30104,20286,10109,4723,1
30,60,1050385,170638,35018,8779,20563,26209,16357,6096,1
20,35,2069973,431907,35186,14523,23451,18857,29618,10203,1
24,30,780859,93853,10779,16540,8502,7069,5895,1340,1
34,53,411546,113004,82953,47162,21753,32285,25200,31671,1
27,20,694832,268591,59791,53570,50262,46217,10082,5650,1
13,47,96851,18457,6866,2122,1222,2530,1704,1011,1
16,57,266682,60065,64206,49364,35866,28334,16332,8139,1
11,47,1431272,598913,47299,24955,28285,17735,9701,4186,1
10,37,330093,532421,83390,25293,16173,12540,10889,6251,1
14,44,481812,26773,29144,15889,8360,10552,5208,2484,1
21,37,10969,42419,22791,8183,17904,25210,7633,7830,1
48,43,15778,25826,6471,5191,14596,15740,13118,8531,1
69,66,32123,22565,36139,30931,14093,16061,6296,6315,1
61,54,151666,37955,12163,3622,3984,3498,3432,2823,1
61,43,1838618,370855,88847,55079,115357,20545,15553,6166,1
51,50,65850,8366,6415,8602,7236,16656,9476,7382,1
35,26,266880,715159,54561,16755,27729,12420,6502,2757,1
51,24,163326,41844,10109,7314,12064,20578,7430,3300,1
37,40,23183,5903,36842,5629,10269,5486,13596,3958,1
56,74,15481,25868,53667,55031,14476,19223,4946,2688,1
38,83,108539,126357,76009,14903,13301,11463,3552,3137,1
29,93,14593,26084,18691,5592,16905,4040,7009,823,1
20,67,45363,37683,1080,2053,4901,2429,1988,399,0
47,44,11885,14887,5974,22637,21085,8568,5354,3740,0
61,51,31018,19379,13457,20923,19493,3072,6584,1544,0
66,50,21407,38568,1400,12475,10278,12311,10975,4358,0
50,69,9938,29673,34805,22951,7163,6668,5455,3114,0
60,64,7169,12604,18813,25069,45921,8768,4013,3089,0
47,66,20033,15769,6881,26956,38137,6306,2809,3918,0
30,93,4534,18732,86070,54499,18524,8048,3223,4350,0
43,69,6390,25874,2479,5734,12273,8902,6198,1543,0
47,30,528947,169690,57275,9431,14172,18340,17491,4251,0
20,1,424188,151044,28582,31508,9232,17664,7275,3119,0
24,16,1617194,119007,43878,74100,5054,10323,22063,6964,0
35,29,49873,76121,5741,22302,39587,14132,6851,3947,0
24,38,827373,99005,15404,9025,6549,9399,4019,2511,0
16,44,1305668,112834,43194,49462,15150,6546,9585,3436,0
16,21,320053,704650,48450,26707,11468,31338,12488,4784,0
23,27,211729,14691,19654,2659,29854,11825,10331,7020,0
14,30,64376,73620,16480,6655,12378,2698,2289,670,0
27,27,22237,51636,20990,8101,10169,11021,6824,7571,0
40,37,1016763,135920,11544,3822,8393,5271,11492,4244,1
64,47,161780,36807,24680,14990,15860,20004,9063,2999,1
77,51,12209,41252,6057,20174,13628,16901,14431,1555,1
54,50,313726,148384,96484,65270,58319,15129,41909,29947,1
38,51,104848,18500,5704,1291,1977,1442,1427,556,1
17,37,45466,37393,2011,2865,2037,1220,1953,1456,1
8,35,357236,74805,13817,10872,2322,7264,6491,8408,1
7,27,357075,81722,10533,26545,5359,4635,8148,5343,1
11,21,639228,64307,547,13203,2975,7331,17226,1487,1
30,40,2416701,40460,32842,27537,24867,27444,20487,11487,1
40,77,1279029,46196,37138,9841,5134,4728,3853,2759,1
41,90,1454987,93279,49754,48393,47798,16014,12318,1556,1
43,94,130922,15683,14582,11955,3951,2573,1375,887,1
43,94,130922,15683,14582,11955,3951,2573,1375,887,1
41,84,98998,6216,6895,1412,1276,2993,3249,1368,1
54,81,10687,1829,1768,1045,1717,2300,1844,1862,1
50,66,248979,226940,61511,29235,56535,11009,15617,7058,1
51,70,1407642,105456,17769,4809,10980,14298,4534,2244,1
43,64,399054,15655,4760,4450,4531,2190,1390,460,1
38,60,24686,24873,6543,5833,3561,10077,9303,2850,1
48,69,47460,38816,3962,26560,6678,9119,12638,6394,1
7,16,582047,442193,24490,5659,6784,21669,2862,5212,1
14,29,302518,70848,26624,3441,26105,10619,14749,3841,1
53,41,62930,2382,7406,3029,7949,13360,7819,3562,1
60,67,248061,44251,21937,8952,4215,7029,898,1646,1
63,67,22500,31766,10411,3007,6729,7675,12086,4350,1
63,67,22500,31766,10411,3007,6729,7675,12086,4350,1
74,75,457653,31881,1914,13547,6715,11822,24049,3014,1
30,60,603748,13105,6637,2429,2049,1378,526,281,1
30,60,603748,13105,6637,2429,2049,1378,526,281,1
29,53,551723,79037,13875,4074,7361,3701,9716,6693,0
1,44,181301,33488,6632,5596,5761,1586,1206,2849,0
1,47,1356333,118328,19170,16443,9039,4448,8673,2713,0
20,67,41281,7658,5003,12137,7707,9086,13149,10669,0
20,63,99693,80647,7850,4517,10136,2571,2690,3075,0
29,69,1861471,81827,52168,11536,11671,15214,10266,4019,0
41,70,1577713,376299,63135,76230,60076,55839,41483,28293,0
51,61,116671,19987,4956,1028,8986,5961,9432,2639,0
51,44,641022,145039,9003,11658,15270,16594,27274,18280,0
47,41,482402,164688,18176,14988,15983,12578,11056,2968,0
44,64,55705,31469,4833,5233,4015,5852,6204,520,0
66,74,794034,34723,11554,6594,4878,2400,2749,335,0
60,74,38459,32917,13592,3588,10367,14765,3878,2818,0
56,69,23252,18926,14727,2597,8757,8658,12589,1903,0
75,74,760834,59127,15680,8876,11234,9063,3875,1565,0
63,78,378943,20221,8015,3366,2846,2753,3667,716,0
61,81,125696,11345,17253,6746,14686,7084,8394,2478,0
60,77,5364,9253,6902,5469,5234,11632,12921,4201,0
60,93,75106,35943,100735,21090,20524,16051,9991,5262,0
53,77,1699143,107609,62086,63089,26359,8344,11710,4793,1
16,77,356787,20805,11864,3941,3042,4010,1898,1175,1
16,66,1177017,35408,9568,4573,3427,1965,1754,733,1
27,64,2080371,96182,23982,20445,18313,26019,27608,17843,1
34,57,1670595,668196,70052,16612,17047,43724,8329,11936,1
44,48,158210,26678,4294,6230,9771,16351,13507,4710,1
56,60,104530,13869,3809,27692,6175,6269,9977,1729,1
50,64,14016,28256,11268,8998,5418,4534,2571,1479,1
78,70,12090,6626,4810,3732,15566,22793,2393,1480,1
77,69,15985,15492,1914,2793,4663,7381,5581,2832,1
57,77,214077,69143,42311,37203,15803,11060,14162,10791,0
17,67,190487,125215,10859,16968,10069,5778,781,2653,0
30,69,126550,56901,50025,10813,10374,8185,9105,2156,0
44,78,10839,7102,12218,16237,6502,13262,3369,2368,0
61,87,13331,19668,6567,7814,4245,10233,4820,2911,0
48,77,1991309,180804,14750,12249,3859,10828,1700,2845,0
56,61,28407,48744,10086,1404,5726,9305,5530,2580,0
43,63,249102,18925,18685,9289,2397,3361,3676,1425,0
41,69,237795,7316,2484,7311,1876,3841,2505,1881,0
53,84,38742,20340,16483,10819,12372,10676,11382,2150,0
50,81,22214,12577,10817,11525,9655,15998,12672,2610,1
41,47,1624853,274442,29433,27167,34181,22707,21446,10423,1
38,57,63120,12196,13819,16024,14302,27463,10547,7699,1
50,56,23547,15549,27460,6525,8164,15913,7685,3844,1
63,63,289961,65375,9284,7772,13802,11884,20517,2005,1
66,70,1386463,17931,6586,7156,15087,3551,2218,2265,1
54,66,23830,40452,7811,13238,11207,11097,10030,4845,1
54,66,23830,40452,7811,13238,11207,11097,10030,4845,1
41,60,11892,71129,22641,7778,7805,15100,10125,6004,1
43,53,9047,18064,1451,1851,7549,10225,5782,2261,1
44,88,263311,14087,7170,10589,6289,5592,2790,800,1
14,40,486042,153095,75702,37424,7320,16742,9276,6037,1
14,40,486042,153095,75702,37424,7320,16742,9276,6037,1
13,81,801365,81510,27228,6912,3919,3890,2259,2227,1
23,77,72934,42089,12150,11601,35626,13620,13008,4590,1
37,81,5488,12732,7706,28530,7506,12461,7452,5319,1
38,77,859431,79018,26819,45061,34311,8207,7179,2725,1
61,80,17079,11296,14057,5490,4566,17312,8724,2996,1
66,84,23338,40439,17233,12012,8647,23664,7313,2410,1
40,64,714495,222389,21378,9766,7673,3264,2595,766,1
35,41,162880,44492,13934,7788,6422,26370,36882,9012,0
48,77,153558,2772,4953,2179,1842,3022,1096,342,0
30,61,56922,39925,15455,8130,7493,2622,1316,1729,0
50,80,31188,9215,16567,15006,2185,10537,13744,2403,0
34,70,276728,49323,14978,9008,8185,3088,2160,653,0
34,80,1027096,101940,32082,13355,7443,15402,6397,3535,0
29,75,697580,63965,16609,3438,7282,2642,2884,1384,0
23,54,458170,114134,13058,15252,14242,17141,7539,2768,0
24,54,1398036,428844,42247,162258,37097,31565,9044,3392,0
66,60,5488,7993,5451,7104,6375,13818,10530,5608,0
69,87,5371,60094,20150,15981,19828,15039,10072,935,0
